,,,,,,,,,
Size:12000,Epoch,Size:11000,Epoch,Size:10000,Epoch,Size: 9000,Epoch,Size: 8000,Epoch
0.00306,1,0.03284,1,0.01301,1,0.02635,1,0.03598,1
0.00271,2,0.00818,2,0.00188,2,0.00168,2,0.00646,2
0.00322,3,0.00332,3,0.00185,3,0.00113,3,0.00233,3
0.00299,4,0.00305,4,0.00137,4,0.00162,4,0.00176,4
0.00261,5,0.00303,5,0.00115,5,0.00141,5,0.00172,5
0.00253,6,0.00272,6,0.00114,6,0.00129,6,0.00167,6
0.00294,7,0.00299,7,0.00106,7,0.00118,7,0.00163,7
0.00232,8,0.00246,8,0.00105,8,0.00111,8,0.00174,8
0.00356,9,0.00302,9,0.00102,9,0.00105,9,0.00188,9
0.00259,10,0.00232,10,0.00104,10,0.00104,10,0.00159,10
0.00291,11,0.00233,11,0.00105,11,0.00101,11,0.00165,11
0.00232,12,0.00291,12,0.00113,12,0.00107,12,0.00185,12
0.00236,13,0.0025,13,0.00102,13,0.00102,13,0.00168,13
0.00264,14,0.00274,14,0.00102,14,0.00101,14,0.00176,14
0.0024,15,0.00233,15,0.00102,15,0.00101,15,0.00162,15
0.00244,16,0.00252,16,0.00105,16,0.00101,16,0.00169,16
0.00234,17,0.00262,17,0.00103,17,0.00103,17,0.0017,17
0.00261,18,0.00247,18,0.00107,18,0.00109,18,0.0017,18
0.00242,19,0.0026,19,0.00105,19,0.00103,19,0.00176,19
0.00246,20,0.0024,20,0.0011,20,0.00103,20,0.0017,20
0.00259,21,0.00258,21,0.00104,21,0.00102,21,0.00171,21
0.00248,22,0.00242,22,0.00104,22,0.00102,22,0.00165,22
0.00238,23,0.0024,23,0.00103,23,0.00103,23,0.00175,23
0.00246,24,0.00242,24,0.00109,24,0.00103,24,0.00165,24
0.00248,25,0.0024,25,0.00103,25,0.00105,25,0.0017,25
0.0024,26,0.00239,26,0.00104,26,0.00102,26,0.00168,26
0.00243,27,0.00238,27,0.00105,27,0.00111,27,0.00174,27
0.00238,28,0.00245,28,0.00103,28,0.00105,28,0.00167,28
0.00245,29,0.00238,29,0.00104,29,0.00103,29,0.0017,29
0.00243,30,0.00242,30,0.00103,30,0.00104,30,0.00171,30
